Region	Mean ASD-I	Mean ASD-II	Cohen`s D	t	df	p	pcor	NA	NA
G_and_S_frontomargin	 0.0089	NA	 0.01	NA	 0.06	 0.3626	161.1472	0.717391943802268	52.656659573571
G_and_S_occipital_inf	-0.0221	NA	-0.02	NA	 0.02	 0.1223	159.5554	0.902805389360139	66.2660299706752
G_and_S_paracentral	 0.0052	NA	 0.00	NA	 0.06	 0.3993	159.7631	0.690228197649889	50.6628371641532
G_and_S_subcentral	 0.0039	NA	 0.00	NA	 0.01	 0.0774	161.6646	0.938378129543723	68.8770736074607
G_and_S_transv_frontopol	 0.0153	NA	 0.03	NA	-0.24	-1.5196	162.9904	0.13054924931385	9.58233144112278
G_and_S_cingul-Ant	 0.0183	NA	 0.02	NA	-0.17	-1.0800	155.1994	0.281801423582322	20.6842601971175
G_and_S_cingul-Mid-Ant	 0.0032	NA	 0.01	NA	-0.06	-0.3901	162.8008	0.696992964700386	51.1593719228022
G_and_S_cingul-Mid-Post	 0.0052	NA	 0.01	NA	-0.21	-1.3310	162.8619	0.185064263547657	13.5837403933108
G_cingul-Post-dorsal	 0.0083	NA	 0.00	NA	 0.23	 1.4611	162.9484	0.14590846700587	10.7096999658354
G_cingul-Post-ventral	-0.0008	NA	-0.01	NA	 0.17	 1.1354	154.2895	0.257963644437932	18.934564187509
G_cuneus	-0.0037	NA	 0.00	NA	-0.06	-0.4099	158.9776	0.682434913454113	50.0908091167207
G_front_inf-Opercular	 0.0013	NA	 0.00	NA	 0.05	 0.3191	161.7736	0.750087078434667	55.0564865982871
G_front_inf-Orbital	 0.0028	NA	 0.01	NA	-0.15	-0.9302	155.8317	0.353693266923614	25.9611306075584
G_front_inf-Triangul	-0.0056	NA	 0.00	NA	-0.07	-0.4603	158.6780	0.645955098062174	47.4131860447093
G_front_middle	-0.0020	NA	 0.00	NA	-0.15	-0.9865	158.4838	0.325384479618656	23.8832620324568
G_front_sup	 0.0069	NA	 0.01	NA	 0.01	 0.0608	159.6649	0.951624728102615	69.8493756201183
G_Ins_lg_and_S_cent_ins	-0.0264	NA	-0.03	NA	 0.11	 0.7347	162.9715	0.463556100661986	34.0250765243303
G_insular_short	 0.0149	NA	 0.01	NA	 0.02	 0.1106	160.1890	0.912084929681247	66.947149406026
G_occipital_middle	-0.0139	NA	-0.01	NA	-0.09	-0.5920	155.1862	0.554696415933918	40.7147872133937
G_occipital_sup	-0.0117	NA	-0.01	NA	 0.04	 0.2644	162.9998	0.79180852951604	58.1188463940542
G_oc-temp_lat-fusifor	 0.0010	NA	 0.00	NA	 0.10	 0.6111	157.9142	0.542023640811347	39.7846039136694
G_oc-temp_med-Lingual	-0.0282	NA	-0.01	NA	-0.46	-2.9791	158.2249	0.00334713392091139	0.245680053899744
G_oc-temp_med-Parahip	-0.0108	NA	-0.01	NA	-0.06	-0.3934	160.4957	0.694552831721144	50.9802658529442
G_orbital	-0.0109	NA	-0.01	NA	 0.03	 0.1757	156.3291	0.860779146228404	63.1812983997924
G_pariet_inf-Angular	 0.0112	NA	 0.00	NA	 0.38	 2.4774	162.9319	0.0142553141042632	1.04634186149908
G_pariet_inf-Supramar	 0.0011	NA	 0.00	NA	-0.02	-0.1540	160.6839	0.877806435078744	64.4311035588817
G_parietal_sup	 0.0035	NA	 0.00	NA	 0.15	 0.9569	162.2623	0.340020515924503	24.9575489517923
G_postcentral	-0.0002	NA	 0.01	NA	-0.16	-1.0437	162.9879	0.298171780698683	21.8858464836951
G_precentral	 0.0104	NA	 0.00	NA	 0.36	 2.2708	139.5662	0.0246882857743006	1.81212330400897
G_precuneus	 0.0043	NA	 0.01	NA	-0.13	-0.8622	159.4074	0.389898432314708	28.6185943347078
G_rectus	 0.0067	NA	 0.01	NA	-0.04	-0.2913	162.8725	0.771183890677684	56.6049952900355
G_subcallosal	 0.0034	NA	 0.01	NA	-0.10	-0.6181	157.0094	0.537388859614872	39.4444103865896
G_temp_sup-G_T_transv	-0.0086	NA	 0.00	NA	-0.26	-1.6936	159.3093	0.0922965869634768	6.77458117773043
G_temp_sup-Lateral	-0.0044	NA	 0.00	NA	-0.20	-1.2689	162.8022	0.206285018212123	15.1413464744979
G_temp_sup-Plan_polar	 0.0166	NA	 0.02	NA	-0.05	-0.3413	156.2469	0.733316421382348	53.8255182456895
G_temp_sup-Plan_tempo	 0.0040	NA	 0.00	NA	 0.14	 0.8907	158.7861	0.374415993440693	27.4821813596237
G_temporal_inf	 0.0061	NA	 0.00	NA	 0.27	 1.7139	160.7469	0.088478425378487	6.49432763360489
G_temporal_middle	-0.0009	NA	 0.00	NA	 0.00	-0.0051	160.2888	0.995973515473472	73.1045822324351
Lat_Fis-ant-Horizont	 0.0011	NA	 0.01	NA	-0.14	-0.9285	160.4145	0.354557125768066	26.0245379561981
Lat_Fis-ant-Vertical	-0.0152	NA	-0.01	NA	-0.15	-0.9276	157.9568	0.35500465268105	26.0573864883158
Lat_Fis-post	-0.0095	NA	-0.02	NA	 0.31	 1.9922	162.3291	0.0480278576693686	3.52525083839095
Pole_occipital	-0.0146	NA	-0.01	NA	-0.11	-0.7038	154.1904	0.482640280608155	35.4258577504757
Pole_temporal	-0.0057	NA	 0.00	NA	-0.29	-1.8843	161.4016	0.0613192144653757	4.50083811132404
S_calcarine	-0.0196	NA	-0.01	NA	-0.18	-1.1545	161.5390	0.250018133094043	18.3513626481167
S_central	 0.0038	NA	 0.01	NA	-0.20	-1.3294	162.6530	0.185567177609808	13.6206543491953
S_cingul-Marginalis	-0.0095	NA	 0.01	NA	-0.52	-3.3178	150.4649	0.00113768598675027	0.0835062955800949
S_circular_insula_ant	 0.0059	NA	 0.00	NA	 0.12	 0.7769	159.5595	0.438367185168437	32.1762069354952
S_circular_insula_inf	 0.0137	NA	 0.01	NA	 0.02	 0.1445	158.6209	0.885313833952708	64.9821475874697
S_circular_insula_sup	-0.0029	NA	 0.00	NA	 0.03	 0.1691	162.9495	0.8658928595318	63.5566456042042
S_collat_transv_ant	 0.0098	NA	 0.00	NA	 0.24	 1.4965	154.8298	0.13656156088427	10.0236358721928
S_collat_transv_post	-0.0340	NA	 0.00	NA	-0.62	-4.0742	157.0058	7.30877638642587e-05	0.00536465112835806
S_front_inf	 0.0065	NA	 0.01	NA	-0.19	-1.2400	154.1596	0.216847371660651	15.9166245559426
S_front_middle	 0.0143	NA	 0.02	NA	-0.06	-0.3904	157.1007	0.696797046830997	51.1449915263648
S_front_sup	 0.0121	NA	 0.01	NA	 0.05	 0.3122	162.7447	0.755302545843488	55.4393025669301
S_interm_prim-Jensen	-0.0124	NA	 0.02	NA	-0.54	-3.5235	162.4641	0.000553334192774488	0.0406147998608886
S_intrapariet_and_P_trans	-0.0030	NA	 0.00	NA	 0.01	 0.0679	158.7312	0.945953609281608	69.4331147800867
S_oc_middle_and_Lunatus	-0.0196	NA	-0.02	NA	-0.06	-0.3624	162.9799	0.717524565635359	52.666394032924
S_oc_sup_and_transversal	-0.0161	NA	-0.01	NA	-0.09	-0.6075	162.8199	0.544365057835817	39.9564642199391
S_occipital_ant	-0.0115	NA	-0.01	NA	-0.04	-0.2278	162.9802	0.820118116835882	60.1967736903496
S_oc-temp_lat	-0.0063	NA	-0.02	NA	 0.28	 1.8110	154.1780	0.0720933151756226	5.29165846860869
S_oc-temp_med_and_Lingual	-0.0085	NA	 0.00	NA	-0.40	-2.5910	162.7354	0.0104401785130266	0.766310425698446
S_orbital_lateral	 0.0030	NA	 0.01	NA	-0.03	-0.2231	162.9406	0.823725666108517	60.4615682640623
S_orbital_med-olfact	-0.0013	NA	 0.01	NA	-0.29	-1.8475	162.8572	0.0664852248036326	4.88002392472107
S_orbital-H_Shaped	 0.0162	NA	 0.01	NA	 0.16	 1.0573	157.2560	0.292003793065946	21.4331154099258
S_parieto_occipital	-0.0038	NA	-0.01	NA	 0.21	 1.3342	161.6374	0.184024193301251	13.5073991054405
S_pericallosal	 0.0202	NA	 0.02	NA	-0.04	-0.2257	160.3002	0.821735243018226	60.3154709570346
S_postcentral	 0.0108	NA	 0.01	NA	 0.13	 0.8140	162.1573	0.416832777255659	30.59557866614
S_precentral-inf-part	 0.0136	NA	 0.01	NA	 0.09	 0.5801	152.3737	0.562719100551034	41.3036532808193
