Region	Mean Controls	Mean ASD-I	Cohen`s D	t	df	p	pcor	NA	NA
G_and_S_frontomargin	 0.0130	NA	 0.01	NA	 0.08	 0.5197	165.9822	0.603941080043496	44.3293517986738
G_and_S_occipital_inf	-0.0246	NA	-0.02	NA	-0.05	-0.3236	160.2113	0.746631577891057	54.8028524205505
G_and_S_paracentral	 0.0023	NA	 0.01	NA	-0.08	-0.5181	153.9026	0.60512986386001	44.416608681433
G_and_S_subcentral	-0.0008	NA	 0.00	NA	-0.13	-0.8600	150.6301	0.391181828781266	28.7127957979683
G_and_S_transv_frontopol	 0.0326	NA	 0.02	NA	 0.38	 2.4756	162.6007	0.0143251030523217	1.05146437912932
G_and_S_cingul-Ant	 0.0203	NA	 0.02	NA	 0.06	 0.3583	160.1963	0.720593928917749	52.8916856867608
G_and_S_cingul-Mid-Ant	-0.0014	NA	 0.00	NA	-0.14	-0.8956	162.8063	0.371789917341119	27.2894270411732
G_and_S_cingul-Mid-Post	 0.0064	NA	 0.01	NA	 0.05	 0.3259	145.0364	0.744937870516921	54.6785340846845
G_cingul-Post-dorsal	 0.0043	NA	 0.01	NA	-0.13	-0.8545	158.8214	0.394136527816881	28.9296710815631
G_cingul-Post-ventral	-0.0080	NA	 0.00	NA	-0.15	-0.9667	164.0717	0.335137896498162	24.5991640672375
G_cuneus	-0.0093	NA	 0.00	NA	-0.16	-1.0446	164.5135	0.297736981961032	21.8539322012595
G_front_inf-Opercular	 0.0019	NA	 0.00	NA	 0.02	 0.1228	161.2863	0.902447909957271	66.2397909372096
G_front_inf-Orbital	 0.0046	NA	 0.00	NA	 0.03	 0.2056	147.0772	0.837380397162112	61.4638272535444
G_front_inf-Triangul	-0.0013	NA	-0.01	NA	 0.10	 0.6433	152.8833	0.520973640293758	38.2395312084988
G_front_middle	 0.0015	NA	 0.00	NA	 0.13	 0.8224	165.5662	0.412025306347235	30.2427096923221
G_front_sup	 0.0119	NA	 0.01	NA	 0.29	 1.8771	164.3961	0.0622731124524333	4.57085434443949
G_Ins_lg_and_S_cent_ins	-0.0202	NA	-0.03	NA	 0.11	 0.7414	162.1943	0.45952891342858	33.729480471126
G_insular_short	 0.0265	NA	 0.01	NA	 0.23	 1.4911	156.3642	0.137946360348535	10.1252803283334
G_occipital_middle	-0.0133	NA	-0.01	NA	 0.02	 0.1176	165.8937	0.906537069444378	66.5399357616878
G_occipital_sup	-0.0150	NA	-0.01	NA	-0.09	-0.5988	148.8261	0.550209243800019	40.38542821021
G_oc-temp_lat-fusifor	-0.0014	NA	 0.00	NA	-0.09	-0.6017	147.5769	0.548328530123566	40.247383588059
G_oc-temp_med-Lingual	-0.0141	NA	-0.03	NA	 0.48	 3.1247	164.2725	0.00210471482773123	0.154486335037291
G_oc-temp_med-Parahip	-0.0176	NA	-0.01	NA	-0.18	-1.1324	148.5681	0.259301320128289	19.0327497526739
G_orbital	-0.0022	NA	-0.01	NA	 0.28	 1.8161	152.3670	0.0713156655313164	5.23457888618307
G_pariet_inf-Angular	 0.0054	NA	 0.01	NA	-0.16	-1.0563	165.6940	0.292370638217112	21.4600418905031
G_pariet_inf-Supramar	 0.0029	NA	 0.00	NA	 0.05	 0.3308	159.0559	0.741266743591253	54.4090729031835
G_parietal_sup	-0.0008	NA	 0.00	NA	-0.14	-0.9254	163.7633	0.356122081155558	26.1394058799306
G_postcentral	 0.0026	NA	 0.00	NA	 0.07	 0.4638	161.7483	0.643420181626902	47.227122857169
G_precentral	 0.0005	NA	 0.01	NA	-0.25	-1.5657	145.9944	0.119594218231072	8.77823077156923
G_precuneus	 0.0032	NA	 0.00	NA	-0.05	-0.2995	160.2292	0.764924718533311	56.1455712615585
G_rectus	-0.0067	NA	 0.01	NA	-0.30	-1.9432	162.3821	0.0537239966582982	3.94334816191831
G_subcallosal	-0.0128	NA	 0.00	NA	-0.15	-0.9658	165.0517	0.335556049164312	24.6298565259157
G_temp_sup-G_T_transv	 0.0018	NA	-0.01	NA	 0.20	 1.2937	162.1963	0.197593586026974	14.5033942508438
G_temp_sup-Lateral	-0.0030	NA	 0.00	NA	 0.04	 0.2434	156.4505	0.808033524284396	59.3097630658698
G_temp_sup-Plan_polar	 0.0244	NA	 0.02	NA	 0.16	 1.0024	155.6164	0.317696663087979	23.318975325006
G_temp_sup-Plan_tempo	 0.0017	NA	 0.00	NA	-0.06	-0.3518	147.1472	0.725521377897775	53.2533610662363
G_temporal_inf	-0.0001	NA	 0.01	NA	-0.20	-1.2805	165.7179	0.202167314540689	14.8391065032733
G_temporal_middle	-0.0055	NA	 0.00	NA	-0.16	-1.0178	157.6727	0.310319681858803	22.7775039680704
Lat_Fis-ant-Horizont	-0.0030	NA	 0.00	NA	-0.06	-0.3860	147.6662	0.700061491219787	51.3846021581296
Lat_Fis-ant-Vertical	-0.0089	NA	-0.02	NA	 0.10	 0.6156	161.2287	0.539012918679117	39.5636165276846
Lat_Fis-post	-0.0178	NA	-0.01	NA	-0.24	-1.5887	165.3245	0.11402907037903	8.36974821408685
Pole_occipital	-0.0169	NA	-0.01	NA	-0.07	-0.4426	155.2956	0.658662014832268	48.3458753456878
Pole_temporal	 0.0023	NA	-0.01	NA	 0.23	 1.5200	162.5806	0.130454292923788	9.57536163006055
S_calcarine	-0.0063	NA	-0.02	NA	 0.41	 2.6023	157.6302	0.0101433905339684	0.744526150430499
S_central	 0.0052	NA	 0.00	NA	 0.05	 0.3098	164.2311	0.757139660940083	55.5741470477953
S_cingul-Marginalis	 0.0011	NA	-0.01	NA	 0.30	 1.9355	151.0810	0.0547986649549955	4.02222895106374
S_circular_insula_ant	-0.0028	NA	 0.01	NA	-0.21	-1.3136	149.7646	0.190976343220891	14.0176877904272
S_circular_insula_inf	 0.0187	NA	 0.01	NA	 0.14	 0.9287	161.2271	0.354444453278	26.0162677811509
S_circular_insula_sup	-0.0040	NA	 0.00	NA	-0.05	-0.2924	154.7576	0.770383710111387	56.5462619350809
S_collat_transv_ant	 0.0014	NA	 0.01	NA	-0.19	-1.2368	163.5712	0.217947189896405	15.9973513538014
S_collat_transv_post	-0.0161	NA	-0.03	NA	 0.40	 2.6020	164.2612	0.0101156636631619	0.742490994600118
S_front_inf	 0.0115	NA	 0.01	NA	 0.15	 0.9771	158.4227	0.330001785926516	24.2221729004982
S_front_middle	 0.0182	NA	 0.01	NA	 0.10	 0.6190	146.9516	0.536880160374572	39.4070717978958
S_front_sup	 0.0127	NA	 0.01	NA	 0.02	 0.1420	161.8263	0.887235613920382	65.1232064805996
S_interm_prim-Jensen	 0.0047	NA	-0.01	NA	 0.25	 1.6504	165.9208	0.100754720591054	7.39540925769823
S_intrapariet_and_P_trans	-0.0007	NA	 0.00	NA	 0.08	 0.5319	165.9574	0.595494126523552	43.7093443400229
S_oc_middle_and_Lunatus	-0.0127	NA	-0.02	NA	 0.15	 0.9807	163.0287	0.328206322394015	24.090385649715
S_oc_sup_and_transversal	-0.0087	NA	-0.02	NA	 0.21	 1.3485	150.5951	0.179531584574361	13.1776410556424
S_occipital_ant	-0.0129	NA	-0.01	NA	-0.03	-0.1982	164.0972	0.843100890216238	61.8837121685429
S_oc-temp_lat	-0.0063	NA	-0.01	NA	 0.00	-0.0046	159.5235	0.996319391019988	73.1299695413742
S_oc-temp_med_and_Lingual	-0.0080	NA	-0.01	NA	 0.02	 0.1265	142.1347	0.89950805765133	66.0240054054541
S_orbital_lateral	 0.0171	NA	 0.00	NA	 0.21	 1.3836	161.0444	0.168387139768783	12.3596373948354
S_orbital_med-olfact	 0.0102	NA	 0.00	NA	 0.24	 1.5579	155.4250	0.121290108361932	8.90270932205529
