Region	Mean Controls	Mean ASD-II	Cohen`s D	t	df	p	pcor	NA	NA
G_and_S_frontomargin	 0.0130	NA	 0.01	NA	 0.13	 0.8775	175.3752	0.381403870636106	27.9950924311791
G_and_S_occipital_inf	-0.0246	NA	-0.02	NA	-0.03	-0.2085	176.6714	0.835086349660497	61.2954438762543
G_and_S_paracentral	 0.0023	NA	 0.00	NA	-0.02	-0.1013	173.6334	0.919403001522784	67.4842968064448
G_and_S_subcentral	-0.0008	NA	 0.00	NA	-0.12	-0.7860	168.1881	0.432977811944389	31.7806262579795
G_and_S_transv_frontopol	 0.0326	NA	 0.03	NA	 0.12	 0.8346	173.7800	0.405093981182698	29.7339495469986
G_and_S_cingul-Ant	 0.0203	NA	 0.02	NA	-0.11	-0.7565	176.7862	0.450371704744756	33.0573401934521
G_and_S_cingul-Mid-Ant	-0.0014	NA	 0.01	NA	-0.19	-1.2457	171.8161	0.214573257795662	15.7497043101065
G_and_S_cingul-Mid-Post	 0.0064	NA	 0.01	NA	-0.18	-1.1880	158.0569	0.236622384806158	17.3681130264527
G_cingul-Post-dorsal	 0.0043	NA	 0.00	NA	 0.11	 0.7163	170.6378	0.474808130616318	34.8509769486877
G_cingul-Post-ventral	-0.0080	NA	-0.01	NA	 0.03	 0.2208	173.7794	0.825498101627433	60.5916652557305
G_cuneus	-0.0093	NA	 0.00	NA	-0.20	-1.3294	166.3520	0.185548583348927	13.6192895280907
G_front_inf-Opercular	 0.0019	NA	 0.00	NA	 0.07	 0.4568	175.7687	0.648354899167314	47.5893317498979
G_front_inf-Orbital	 0.0046	NA	 0.01	NA	-0.13	-0.8465	173.1650	0.398425905883279	29.2445119751304
G_front_inf-Triangul	-0.0013	NA	 0.00	NA	 0.03	 0.1698	174.0767	0.865357078767957	63.517319228251
G_front_middle	 0.0015	NA	 0.00	NA	-0.04	-0.2520	168.7462	0.801319723873943	58.8169692650579
G_front_sup	 0.0119	NA	 0.01	NA	 0.26	 1.7253	167.2015	0.0863278961885863	6.33647851857936
G_Ins_lg_and_S_cent_ins	-0.0202	NA	-0.03	NA	 0.20	 1.3716	172.1335	0.171960618662363	12.6219311984084
G_insular_short	 0.0265	NA	 0.01	NA	 0.25	 1.6666	174.6358	0.0973765292581145	7.1474495858204
G_occipital_middle	-0.0133	NA	-0.01	NA	-0.07	-0.4672	169.8764	0.640967110157803	47.0470671005162
G_occipital_sup	-0.0150	NA	-0.01	NA	-0.04	-0.2794	159.2241	0.780283678948271	57.2729209021023
G_oc-temp_lat-fusifor	-0.0014	NA	 0.00	NA	 0.01	 0.0545	171.5676	0.956575403873696	70.2127558490003
G_oc-temp_med-Lingual	-0.0141	NA	-0.01	NA	-0.04	-0.2823	164.5944	0.778031034427926	57.1075765088834
G_oc-temp_med-Parahip	-0.0176	NA	-0.01	NA	-0.24	-1.6172	168.8432	0.107691311457783	7.9045559062298
G_orbital	-0.0022	NA	-0.01	NA	 0.32	 2.1638	175.4380	0.0318357777255137	2.33675011886431
G_pariet_inf-Angular	 0.0054	NA	 0.00	NA	 0.21	 1.3957	176.9101	0.164568709619253	12.0793641380385
G_pariet_inf-Supramar	 0.0029	NA	 0.00	NA	 0.03	 0.1766	175.6093	0.860018213671895	63.1254458537292
G_parietal_sup	-0.0008	NA	 0.00	NA	 0.01	 0.0469	176.5712	0.962655729734203	70.6590525375806
G_postcentral	 0.0026	NA	 0.01	NA	-0.09	-0.6319	172.9796	0.528302298520197	38.7774556509107
G_precentral	 0.0005	NA	 0.00	NA	 0.12	 0.8002	176.6264	0.424644222465522	31.1689397343077
G_precuneus	 0.0032	NA	 0.01	NA	-0.18	-1.2231	176.7226	0.222926128934522	16.3628061100649
G_rectus	-0.0067	NA	 0.01	NA	-0.32	-2.1421	171.6942	0.0335911271818576	2.46559299137478
G_subcallosal	-0.0128	NA	 0.01	NA	-0.24	-1.6400	174.5233	0.102815191516978	7.54664808473686
G_temp_sup-G_T_transv	 0.0018	NA	 0.00	NA	-0.06	-0.4044	176.9999	0.68641596401645	50.3830187324226
G_temp_sup-Lateral	-0.0030	NA	 0.00	NA	-0.17	-1.1254	169.4895	0.262008886585141	19.2314854736741
G_temp_sup-Plan_polar	 0.0244	NA	 0.02	NA	 0.11	 0.7092	176.5427	0.479123293149656	35.1677104253954
G_temp_sup-Plan_tempo	 0.0017	NA	 0.00	NA	 0.10	 0.6450	170.2597	0.519770212072868	38.1511994246028
G_temporal_inf	-0.0001	NA	 0.00	NA	 0.05	 0.3635	175.9643	0.716641723569254	52.6015933134097
G_temporal_middle	-0.0055	NA	 0.00	NA	-0.16	-1.0592	175.2443	0.290953023185651	21.3559887675724
Lat_Fis-ant-Horizont	-0.0030	NA	 0.01	NA	-0.22	-1.4538	168.2609	0.14787297467418	10.8538950776059
Lat_Fis-ant-Vertical	-0.0089	NA	-0.01	NA	-0.05	-0.3199	176.9913	0.749410990330137	55.0068616457496
Lat_Fis-post	-0.0178	NA	-0.02	NA	 0.07	 0.4917	174.1358	0.623563914041473	45.7696703004731
Pole_occipital	-0.0169	NA	-0.01	NA	-0.17	-1.1028	144.3719	0.271939735881094	19.9604110703038
Pole_temporal	 0.0023	NA	 0.00	NA	-0.06	-0.3966	176.6363	0.692151531084985	50.8040100819888
S_calcarine	-0.0063	NA	-0.01	NA	 0.21	 1.4050	173.8177	0.161797497165308	11.8759567927873
S_central	 0.0052	NA	 0.01	NA	-0.16	-1.0493	173.1392	0.29551200575823	21.690618666054
S_cingul-Marginalis	 0.0011	NA	 0.01	NA	-0.24	-1.5800	176.8833	0.115902650695507	8.50726924671179
S_circular_insula_ant	-0.0028	NA	 0.00	NA	-0.08	-0.5030	171.1470	0.615611252903221	45.1859439652687
S_circular_insula_inf	 0.0187	NA	 0.01	NA	 0.17	 1.1287	176.9943	0.260543478471248	19.1239243324371
S_circular_insula_sup	-0.0040	NA	 0.00	NA	-0.02	-0.1005	166.6665	0.920094863285595	67.5350795474988
S_collat_transv_ant	 0.0014	NA	 0.00	NA	 0.03	 0.1915	174.9427	0.848321045397168	62.2668722202527
S_collat_transv_post	-0.0161	NA	 0.00	NA	-0.28	-1.8720	162.7171	0.0630045920145826	4.62454503698473
S_front_inf	 0.0115	NA	 0.01	NA	-0.04	-0.2658	176.9159	0.790733021151976	58.0399039438575
S_front_middle	 0.0182	NA	 0.02	NA	 0.03	 0.2199	171.9802	0.826178243909487	60.6415877854119
S_front_sup	 0.0127	NA	 0.01	NA	 0.07	 0.4633	174.4708	0.643715307568938	47.2487851387089
S_interm_prim-Jensen	 0.0047	NA	 0.02	NA	-0.27	-1.7992	176.7724	0.073684803568826	5.40847391832232
S_intrapariet_and_P_trans	-0.0007	NA	 0.00	NA	 0.09	 0.6204	173.2806	0.535811505363551	39.328632384681
S_oc_middle_and_Lunatus	-0.0127	NA	-0.02	NA	 0.09	 0.5804	174.3515	0.562381724854014	41.2788898619102
S_oc_sup_and_transversal	-0.0087	NA	-0.01	NA	 0.09	 0.5969	158.2418	0.551455901485689	40.4769330422983
S_occipital_ant	-0.0129	NA	-0.01	NA	-0.06	-0.4226	175.3731	0.673070465203487	49.4034574285848
S_oc-temp_lat	-0.0063	NA	-0.02	NA	 0.29	 1.9278	176.7324	0.0554832504959967	4.07247761651491
S_oc-temp_med_and_Lingual	-0.0080	NA	 0.00	NA	-0.43	-2.8440	156.1764	0.00505259489503608	0.37086110549411
S_orbital_lateral	 0.0171	NA	 0.01	NA	 0.16	 1.0852	170.6698	0.279369766911114	20.5057762893432
S_orbital_med-olfact	 0.0102	NA	 0.01	NA	-0.07	-0.4735	168.1743	0.636455844692504	46.7159396437549
S_orbital-H_Shaped	 0.0123	NA	 0.01	NA	 0.07	 0.4803	167.5923	0.631627515777595	46.3615396896182
S_parieto_occipital	-0.0069	NA	-0.01	NA	 0.11	 0.7648	170.3930	0.445473821152878	32.6978349172128
S_pericallosal	 0.0203	NA	 0.02	NA	-0.04	-0.2347	175.9997	0.81475171103077	59.802878824294
S_postcentral	 0.0130	NA	 0.01	NA	 0.19	 1.2859	172.4704	0.200189108354206	14.6939059185332
S_precentral-inf-part	 0.0120	NA	 0.01	NA	 0.05	 0.3141	176.7067	0.753805406842132	55.3294123745328
S_precentral-sup-part	 0.0128	NA	 0.01	NA	 0.19	 1.2641	174.3523	0.207882407540602	15.2585950536085
S_suborbital	 0.0005	NA	 0.01	NA	-0.15	-1.0197	176.9987	0.309247202681022	22.6987838605307
S_subparietal	-0.0094	NA	-0.01	NA	-0.01	-0.0738	173.9409	0.941283799884108	69.0903501786133
S_temporal_inf	-0.0030	NA	-0.02	NA	 0.32	 2.1486	175.2861	0.0330402559933528	2.42515897633937
S_temporal_sup	-0.0173	NA	-0.01	NA	-0.25	-1.6752	157.8890	0.0958759896915017	7.03730979150236
S_temporal_transverse	-0.0260	NA	-0.02	NA	-0.05	-0.3259	166.1428	0.74492343054147	54.6774741886568
