Region	Mean Controls	Mean ASD	Cohen`s D	t	df	p	pcor	NA	NA
G_and_S_frontomargin	 0.0130	NA	 0.01	NA	 0.09	 0.6949	164.3329	0.488072078758744	35.824552422975
G_and_S_occipital_inf	-0.0246	NA	-0.02	NA	-0.03	-0.2544	188.5512	0.79949150868186	58.6827780383115
G_and_S_paracentral	 0.0023	NA	 0.00	NA	-0.03	-0.2026	202.7285	0.839662637219135	61.6313439629054
G_and_S_subcentral	-0.0008	NA	 0.00	NA	-0.11	-0.8886	214.3402	0.375200115965126	27.5397360522708
G_and_S_transv_frontopol	 0.0326	NA	 0.02	NA	 0.24	 1.8654	201.9428	0.0635698043730367	4.66603169571154
G_and_S_cingul-Ant	 0.0203	NA	 0.02	NA	-0.02	-0.1349	181.7144	0.892853003658458	65.5355235991362
G_and_S_cingul-Mid-Ant	-0.0014	NA	 0.00	NA	-0.17	-1.3494	196.2980	0.178771670439968	13.1218632618916
G_and_S_cingul-Mid-Post	 0.0064	NA	 0.01	NA	-0.07	-0.5972	229.6218	0.550982669797943	40.4421977764561
G_cingul-Post-dorsal	 0.0043	NA	 0.00	NA	 0.02	 0.1200	204.3140	0.904597137638298	66.3975445213189
G_cingul-Post-ventral	-0.0080	NA	-0.01	NA	-0.05	-0.3561	179.2837	0.72219678440804	53.0093354828409
G_cuneus	-0.0093	NA	 0.00	NA	-0.18	-1.4042	202.8349	0.161793292866098	11.8756481966926
G_front_inf-Opercular	 0.0019	NA	 0.00	NA	 0.06	 0.4761	196.3080	0.634503384555291	46.5726288222934
G_front_inf-Orbital	 0.0046	NA	 0.01	NA	-0.02	-0.1733	212.4906	0.862608369365644	63.3155636098409
G_front_inf-Triangul	-0.0013	NA	 0.00	NA	 0.07	 0.5415	205.8268	0.58872971908736	43.2128359771096
G_front_middle	 0.0015	NA	 0.00	NA	 0.05	 0.3598	199.1870	0.719375717071914	52.8022687829207
G_front_sup	 0.0119	NA	 0.01	NA	 0.26	 2.0519	203.3336	0.0414607527520399	3.04322450536175
G_Ins_lg_and_S_cent_ins	-0.0202	NA	-0.03	NA	 0.18	 1.2524	150.7320	0.212356936632023	15.5870260558723
G_insular_short	 0.0265	NA	 0.01	NA	 0.25	 1.9535	197.8727	0.0521644850196844	3.82887981004322
G_occipital_middle	-0.0133	NA	-0.01	NA	 0.01	 0.0952	200.3294	0.924260653853325	67.8408491030044
G_occipital_sup	-0.0150	NA	-0.01	NA	-0.07	-0.5938	227.1552	0.553245810685361	40.608312604348
G_oc-temp_lat-fusifor	-0.0014	NA	 0.00	NA	-0.06	-0.4714	212.6382	0.637853303082217	46.8185132666274
G_oc-temp_med-Lingual	-0.0141	NA	-0.02	NA	 0.16	 1.2905	215.0009	0.198280509062449	14.5538144886856
G_oc-temp_med-Parahip	-0.0176	NA	-0.01	NA	-0.17	-1.4021	217.5878	0.162314630126176	11.9139144176393
G_orbital	-0.0022	NA	-0.01	NA	 0.32	 2.5784	207.5938	0.0106189058685708	0.779429036241375
G_pariet_inf-Angular	 0.0054	NA	 0.00	NA	 0.02	 0.1608	179.1892	0.872456104551965	64.0383886202925
G_pariet_inf-Supramar	 0.0029	NA	 0.00	NA	 0.04	 0.3023	196.4340	0.76271943905659	55.9837034685431
G_parietal_sup	-0.0008	NA	 0.00	NA	-0.07	-0.5009	181.6745	0.617042772392282	45.2910176771491
G_postcentral	 0.0026	NA	 0.00	NA	-0.05	-0.3686	199.8669	0.712811190641778	52.3204317111782
G_precentral	 0.0005	NA	 0.00	NA	-0.04	-0.3282	200.0358	0.743099581732791	54.5436034550056
G_precuneus	 0.0032	NA	 0.01	NA	-0.10	-0.7617	188.7694	0.447166199263123	32.8220556849407
G_rectus	-0.0067	NA	 0.01	NA	-0.29	-2.2610	198.2610	0.024845675854986	1.82367575587368
G_subcallosal	-0.0128	NA	 0.01	NA	-0.19	-1.4207	165.2580	0.157274850257859	11.5439939367302
G_temp_sup-G_T_transv	 0.0018	NA	 0.00	NA	 0.07	 0.5372	181.3819	0.591765809462387	43.43568539533
G_temp_sup-Lateral	-0.0030	NA	 0.00	NA	-0.09	-0.7128	207.6156	0.476751157039917	34.9935953343747
G_temp_sup-Plan_polar	 0.0244	NA	 0.02	NA	 0.13	 0.9783	193.2536	0.329161766031907	24.1605153337976
G_temp_sup-Plan_tempo	 0.0017	NA	 0.00	NA	 0.03	 0.2376	214.5584	0.812438511237603	59.6330896663772
G_temporal_inf	-0.0001	NA	 0.00	NA	-0.05	-0.3640	171.0802	0.716305224172446	52.5768942150472
G_temporal_middle	-0.0055	NA	 0.00	NA	-0.16	-1.2917	195.2554	0.197982883850481	14.531968760416
Lat_Fis-ant-Horizont	-0.0030	NA	 0.01	NA	-0.14	-1.1275	218.9280	0.260778020979398	19.1411397822534
Lat_Fis-ant-Vertical	-0.0089	NA	-0.01	NA	 0.01	 0.0500	184.8549	0.960168014359219	70.4764539138461
Lat_Fis-post	-0.0178	NA	-0.02	NA	-0.05	-0.3501	189.6806	0.726659384368512	53.3368908853816
Pole_occipital	-0.0169	NA	-0.01	NA	-0.11	-0.9164	241.6111	0.3603964560483	26.4531455386505
Pole_temporal	 0.0023	NA	 0.00	NA	 0.10	 0.7497	198.9127	0.454292954048688	33.3451603892099
S_calcarine	-0.0063	NA	-0.02	NA	 0.28	 2.1848	202.1041	0.0300558768015216	2.20610516551762
S_central	 0.0052	NA	 0.01	NA	-0.07	-0.5228	193.5123	0.601733676832881	44.1673281233215
S_cingul-Marginalis	 0.0011	NA	 0.00	NA	 0.00	 0.0001	205.2873	0.999935754403777	73.3954110719624
S_circular_insula_ant	-0.0028	NA	 0.00	NA	-0.13	-1.0195	216.4000	0.309081823086479	22.6866449773365
S_circular_insula_inf	 0.0187	NA	 0.01	NA	 0.18	 1.3445	184.0870	0.180443125818004	13.2445482984243
S_circular_insula_sup	-0.0040	NA	 0.00	NA	-0.03	-0.2492	214.3811	0.803431461204874	58.9719710527198
S_collat_transv_ant	 0.0014	NA	 0.00	NA	-0.08	-0.5673	172.1652	0.571267671631906	41.9311194813179
S_collat_transv_post	-0.0161	NA	-0.01	NA	-0.06	-0.5472	249.0794	0.584746523853519	42.9204689422474
S_front_inf	 0.0115	NA	 0.01	NA	 0.06	 0.4683	186.6499	0.640085381810727	46.9823481281198
S_front_middle	 0.0182	NA	 0.02	NA	 0.05	 0.3829	212.7732	0.702145479172721	51.5375671379305
S_front_sup	 0.0127	NA	 0.01	NA	 0.06	 0.4441	191.8236	0.657465863315936	48.2580776728284
S_interm_prim-Jensen	 0.0047	NA	 0.00	NA	 0.04	 0.3102	242.9081	0.756662218174784	55.539102688327
S_intrapariet_and_P_trans	-0.0007	NA	 0.00	NA	 0.09	 0.6298	159.3801	0.529758653451493	38.884352287398
S_oc_middle_and_Lunatus	-0.0127	NA	-0.02	NA	 0.15	 1.2091	196.9824	0.228058124010945	16.7394951989334
S_oc_sup_and_transversal	-0.0087	NA	-0.01	NA	 0.14	 1.1524	227.1887	0.250352408912763	18.3758985355658
S_occipital_ant	-0.0129	NA	-0.01	NA	-0.03	-0.2503	187.3820	0.802616473627641	58.9121508612864
S_oc-temp_lat	-0.0063	NA	-0.01	NA	 0.15	 1.1418	182.7686	0.255014812128639	18.7181195223696
S_oc-temp_med_and_Lingual	-0.0080	NA	 0.00	NA	-0.18	-1.4971	240.3795	0.135679344512065	9.95888107869
S_orbital_lateral	 0.0171	NA	 0.00	NA	 0.21	 1.8555	252.4200	0.0646900919641008	4.74826094684378
S_orbital_med-olfact	 0.0102	NA	 0.00	NA	 0.10	 0.8097	221.9548	0.418955980233303	30.7514220337235
S_orbital-H_Shaped	 0.0123	NA	 0.01	NA	 0.02	 0.1912	202.6205	0.848592668733017	62.2868094075205
S_parieto_occipital	-0.0069	NA	-0.01	NA	-0.02	-0.1418	211.5660	0.887375594045101	65.1334810394905
S_pericallosal	 0.0203	NA	 0.02	NA	 0.01	 0.0789	194.7253	0.937181160475196	68.7892159261666
S_postcentral	 0.0130	NA	 0.01	NA	 0.14	 1.1020	203.9189	0.271781026691295	19.948761795663
S_precentral-inf-part	 0.0120	NA	 0.01	NA	 0.02	 0.1575	186.1453	0.87504118337373	64.2281337333573
S_precentral-sup-part	 0.0128	NA	 0.01	NA	-0.03	-0.2177	204.0141	0.827862352035058	60.7652015352169
S_suborbital	 0.0005	NA	 0.01	NA	-0.08	-0.6619	228.5685	0.508701844713947	37.3387798580199
S_subparietal	-0.0094	NA	-0.01	NA	 0.02	 0.1688	168.9708	0.866133501539056	63.5743087580278
S_temporal_inf	-0.0030	NA	-0.01	NA	 0.18	 1.4347	202.2068	0.152929165123963	11.225020097274
S_temporal_sup	-0.0173	NA	-0.01	NA	-0.18	-1.4898	228.8497	0.137652238613214	10.1036917556936
S_temporal_transverse	-0.0260	NA	-0.02	NA	-0.11	-0.8647	207.3590	0.388185494354649	28.4928644713984
