Region	Mean ASD-I	Mean ASD-II	Cohen`s D	t	df	p	pcor	NA	NA
G_and_S_frontomargin	 0.1448	NA	 0.17	NA	-0.25	-1.6256	162.4078	0.105969773625695	7.75450093497148
G_and_S_occipital_inf	 0.1056	NA	 0.11	NA	-0.04	-0.2849	162.8648	0.776092602972327	56.7917681567464
G_and_S_paracentral	 0.0526	NA	 0.05	NA	 0.08	 0.5361	157.3856	0.592666074622795	43.3692502356538
G_and_S_subcentral	 0.0256	NA	 0.02	NA	 0.02	 0.1517	162.5804	0.879635135454962	64.3686519932824
G_and_S_transv_frontopol	-0.2062	NA	-0.20	NA	-0.02	-0.1405	155.6058	0.888428777049928	65.012140222396
G_and_S_cingul-Ant	-0.1352	NA	-0.13	NA	-0.05	-0.2947	162.7671	0.768618213182211	56.2448182045787
G_and_S_cingul-Mid-Ant	-0.0474	NA	-0.04	NA	-0.08	-0.5286	159.1438	0.597793813160981	43.7444803784405
G_and_S_cingul-Mid-Post	-0.0532	NA	-0.05	NA	-0.07	-0.4164	157.0918	0.677662606010182	49.5890019588282
G_cingul-Post-dorsal	 0.0607	NA	 0.05	NA	 0.06	 0.4166	162.8123	0.67748999230367	49.5763706857516
G_cingul-Post-ventral	-0.0023	NA	 0.02	NA	-0.18	-1.1720	159.9568	0.242957768203646	17.7788078263568
G_cuneus	-0.0417	NA	-0.04	NA	-0.02	-0.1118	159.0898	0.911092959141321	66.6706265549124
G_front_inf-Opercular	-0.0012	NA	 0.01	NA	-0.10	-0.6230	159.4411	0.534182941051077	39.0896571173007
G_front_inf-Orbital	 0.0290	NA	 0.03	NA	-0.02	-0.1476	153.5992	0.88286068229674	64.604686337271
G_front_inf-Triangul	 0.1052	NA	 0.10	NA	 0.02	 0.1498	155.1045	0.881150772646417	64.4795610725047
G_front_middle	 0.0562	NA	 0.07	NA	-0.22	-1.4207	160.9973	0.157324080341705	11.5124311996026
G_front_sup	 0.0342	NA	 0.05	NA	-0.21	-1.3679	155.6696	0.173319829190484	12.6829446881145
G_Ins_lg_and_S_cent_ins	 0.0312	NA	 0.04	NA	-0.05	-0.2951	160.9677	0.768270827435091	56.2193977190132
G_insular_short	 0.0256	NA	 0.02	NA	 0.06	 0.3666	161.9166	0.714366274309853	52.2748492566814
G_occipital_middle	-0.0565	NA	-0.03	NA	-0.32	-2.0876	161.9435	0.0384006022874266	2.81002304858292
G_occipital_sup	-0.0666	NA	-0.07	NA	 0.07	 0.4259	162.2788	0.670725431148861	49.0813635341376
G_oc-temp_lat-fusifor	-0.0136	NA	-0.04	NA	 0.22	 1.4317	162.6258	0.154147913543076	11.2800103161101
