Region	Mean Controls	Mean ASD-I	Cohen`s D	t	df	p	pcor	NA	NA
G_and_S_frontomargin	 0.1448	NA	 0.14	NA	 0.00	-0.0046	165.1354	0.996353906782209	72.9097273435312
G_and_S_occipital_inf	 0.0837	NA	 0.11	NA	-0.22	-1.4125	154.7382	0.159807849363078	11.69418481235
G_and_S_paracentral	 0.0484	NA	 0.05	NA	-0.07	-0.4834	161.6081	0.62949353388851	46.0641561275671
G_and_S_subcentral	 0.0273	NA	 0.03	NA	 0.02	 0.1592	163.1535	0.873742534034092	63.9374518343678
G_and_S_transv_frontopol	-0.2044	NA	-0.21	NA	 0.02	 0.1098	155.0616	0.912679478100944	66.7867225163816
G_and_S_cingul-Ant	-0.1407	NA	-0.14	NA	-0.10	-0.6670	161.7353	0.505711622252405	37.0062246375447
G_and_S_cingul-Mid-Ant	-0.0452	NA	-0.05	NA	 0.03	 0.1962	146.5585	0.84468657091204	61.8112371083431
G_and_S_cingul-Mid-Post	-0.0423	NA	-0.05	NA	 0.17	 1.1040	151.7271	0.271334198036462	19.8552966603045
G_cingul-Post-dorsal	 0.0483	NA	 0.06	NA	-0.13	-0.8101	153.1330	0.419114276183226	30.6693308414757
G_cingul-Post-ventral	-0.0242	NA	 0.00	NA	-0.22	-1.4236	157.1386	0.156547428587419	11.4555985146898
G_cuneus	-0.0473	NA	-0.04	NA	-0.07	-0.4509	139.7933	0.652745032106838	47.7656202196806
G_front_inf-Opercular	-0.0060	NA	 0.00	NA	-0.05	-0.3367	158.7156	0.73682260923507	53.9181260535982
G_front_inf-Orbital	 0.0203	NA	 0.03	NA	-0.07	-0.4348	162.5278	0.664301454661219	48.6112791886184
G_front_inf-Triangul	 0.0948	NA	 0.11	NA	-0.08	-0.5124	158.5542	0.609118306585534	44.573167577103
G_front_middle	 0.0565	NA	 0.06	NA	 0.00	 0.0228	149.0323	0.981824411126391	71.846509184307
G_front_sup	 0.0348	NA	 0.03	NA	 0.01	 0.0686	160.2610	0.945387821966697	69.1802058127058
G_Ins_lg_and_S_cent_ins	 0.0187	NA	 0.03	NA	-0.14	-0.9160	162.0379	0.361006851010023	26.4172307622024
G_insular_short	-0.0040	NA	 0.03	NA	-0.30	-1.9189	164.4489	0.0567333974887285	4.15155349321026
G_occipital_middle	-0.0362	NA	-0.06	NA	 0.26	 1.6658	164.4683	0.0976596441757661	7.14639444965593
G_occipital_sup	-0.0527	NA	-0.07	NA	 0.18	 1.1557	160.8583	0.249528938948408	18.2596633377038
G_oc-temp_lat-fusifor	-0.0531	NA	-0.01	NA	-0.45	-2.8728	153.3498	0.00464553454255411	0.339944124830548
G_oc-temp_med-Lingual	 0.0112	NA	 0.02	NA	-0.11	-0.6822	153.9621	0.496141746298273	36.3059342670472
G_oc-temp_med-Parahip	 0.0483	NA	 0.04	NA	 0.12	 0.7532	157.5934	0.452472675532301	33.1103829461566
G_orbital	-0.0563	NA	-0.06	NA	 0.02	 0.1436	160.5918	0.886020865153568	64.8359375712739
G_pariet_inf-Angular	-0.0641	NA	-0.05	NA	-0.16	-1.0324	160.1464	0.303423148892343	22.2034549218585
G_pariet_inf-Supramar	 0.0812	NA	 0.11	NA	-0.29	-1.8481	151.1939	0.0665390858452044	4.86909979841341
G_parietal_sup	 0.0989	NA	 0.10	NA	-0.05	-0.3509	154.2976	0.726130581935406	53.135720534975
G_postcentral	 0.0769	NA	 0.07	NA	 0.12	 0.7761	148.0773	0.438927281239652	32.1191779155794
G_precentral	-0.0025	NA	 0.01	NA	-0.15	-0.9607	165.9781	0.338091127362397	24.7403374899875
G_precuneus	 0.0518	NA	 0.04	NA	 0.21	 1.3322	156.9920	0.184708842338443	13.5163532166275
G_rectus	 0.0785	NA	 0.08	NA	-0.02	-0.1399	159.4091	0.888940102384005	65.0495572390179
G_subcallosal	 0.2953	NA	 0.28	NA	 0.06	 0.3804	137.1796	0.704224006844707	51.5326732582783
G_temp_sup-G_T_transv	 0.1144	NA	 0.12	NA	-0.01	-0.0576	160.5916	0.954167981617712	69.822707479865
G_temp_sup-Lateral	 0.0407	NA	 0.05	NA	-0.14	-0.8992	165.9276	0.369835453374048	27.0632772992852
G_temp_sup-Plan_polar	-0.0862	NA	-0.10	NA	 0.08	 0.5177	160.6523	0.605374857617569	44.2992349496291
G_temp_sup-Plan_tempo	 0.0885	NA	 0.11	NA	-0.16	-1.0388	164.8561	0.300440252409536	21.9851768905536
G_temporal_inf	 0.0037	NA	-0.01	NA	 0.16	 1.0404	159.5388	0.299732845175122	21.9334112797291
G_temporal_middle	-0.0621	NA	-0.08	NA	 0.25	 1.5873	161.0561	0.114394813155735	8.37101614187972
Lat_Fis-ant-Horizont	-0.1465	NA	-0.13	NA	-0.15	-0.9403	152.7934	0.348552598899221	25.5058717365739
Lat_Fis-ant-Vertical	 0.0985	NA	 0.10	NA	 0.02	 0.1141	164.4821	0.9093341658464	66.5419241543764
Lat_Fis-post	-0.0933	NA	-0.09	NA	-0.07	-0.4846	163.1151	0.628640350797846	46.0017231445768
Pole_occipital	-0.2497	NA	-0.25	NA	 0.03	 0.2054	149.2415	0.837518757957721	61.28672138698
Pole_temporal	-0.0341	NA	-0.04	NA	 0.07	 0.4332	154.2587	0.665482918599257	48.6977346267937
S_calcarine	 0.0117	NA	 0.01	NA	-0.02	-0.1362	138.8007	0.891892092903209	65.2655736789704
S_central	 0.0323	NA	 0.03	NA	 0.09	 0.5946	133.5348	0.553134831388206	40.4764907993075
S_cingul-Marginalis	-0.0817	NA	-0.07	NA	-0.20	-1.2760	136.8971	0.204129294237123	14.9374746105244
S_circular_insula_ant	-0.0590	NA	-0.06	NA	 0.05	 0.3338	162.2241	0.738965892790725	54.0749641194691
S_circular_insula_inf	 0.0938	NA	 0.09	NA	 0.02	 0.1525	165.0291	0.879004343633861	64.3224928329942
S_circular_insula_sup	 0.0886	NA	 0.10	NA	-0.16	-1.0116	164.9479	0.313226296329518	22.9208152913895
S_collat_transv_ant	-0.0228	NA	-0.04	NA	 0.21	 1.3916	165.1100	0.165904368241675	12.1403069444132
