Region	Mean Controls	Mean ASD-II	Cohen`s D	t	df	p	pcor	NA	NA
G_and_S_frontomargin	 0.1448	NA	 0.17	NA	-0.24	-1.6212	173.9395	0.106789363125962	7.81447565539097
G_and_S_occipital_inf	 0.0837	NA	 0.11	NA	-0.25	-1.6889	167.4653	0.0930970134636321	6.81251693994127
G_and_S_paracentral	 0.0484	NA	 0.05	NA	 0.02	 0.1387	158.0640	0.889843668526246	65.1156770791864
G_and_S_subcentral	 0.0273	NA	 0.02	NA	 0.05	 0.3129	175.8468	0.754724421979451	55.2281186950312
G_and_S_transv_frontopol	-0.2044	NA	-0.20	NA	-0.01	-0.0354	176.5913	0.971832980936259	71.1153709351611
G_and_S_cingul-Ant	-0.1407	NA	-0.13	NA	-0.14	-0.9330	170.3101	0.352125805239291	25.7673465982906
G_and_S_cingul-Mid-Ant	-0.0452	NA	-0.04	NA	-0.06	-0.3980	169.3512	0.691157088742765	50.5764814578068
G_and_S_cingul-Mid-Post	-0.0423	NA	-0.05	NA	 0.11	 0.7214	174.6909	0.471607986536809	34.5106387171989
G_cingul-Post-dorsal	 0.0483	NA	 0.05	NA	-0.05	-0.3380	166.3151	0.735793889072691	53.8428478757928
G_cingul-Post-ventral	-0.0242	NA	 0.02	NA	-0.41	-2.7454	175.2473	0.00667402952694342	0.488382360705177
G_cuneus	-0.0473	NA	-0.04	NA	-0.09	-0.6098	163.8432	0.542815863031892	39.7213844418133
G_front_inf-Opercular	-0.0060	NA	 0.01	NA	-0.15	-1.0175	176.2549	0.310319742882631	22.7081237789867
G_front_inf-Orbital	 0.0203	NA	 0.03	NA	-0.09	-0.6277	175.1627	0.531042440819763	38.8598461896487
G_front_inf-Triangul	 0.0948	NA	 0.10	NA	-0.06	-0.3961	176.9836	0.692526181267984	50.6766669060118
G_front_middle	 0.0565	NA	 0.07	NA	-0.24	-1.5750	168.2979	0.117126333316633	8.57089932476162
G_front_sup	 0.0348	NA	 0.05	NA	-0.21	-1.3746	176.8558	0.171002049590707	12.5133376062214
G_Ins_lg_and_S_cent_ins	 0.0187	NA	 0.04	NA	-0.19	-1.2437	176.6596	0.21524241757059	15.7506944781464
G_insular_short	-0.0040	NA	 0.02	NA	-0.23	-1.5636	176.9588	0.119698331703245	8.75910925681432
G_occipital_middle	-0.0362	NA	-0.03	NA	-0.08	-0.5619	171.6473	0.574929127227619	42.0713218693514
G_occipital_sup	-0.0527	NA	-0.07	NA	 0.23	 1.5114	167.2104	0.132562064030414	9.70043262616108
G_oc-temp_lat-fusifor	-0.0531	NA	-0.04	NA	-0.19	-1.2724	167.5426	0.204996946711823	15.0009664129139
G_oc-temp_med-Lingual	 0.0112	NA	 0.00	NA	 0.11	 0.7204	158.9869	0.472328916301535	34.563393859947
G_oc-temp_med-Parahip	 0.0483	NA	 0.05	NA	-0.03	-0.2315	162.5388	0.817236060145793	59.8025038241315
G_orbital	-0.0563	NA	-0.03	NA	-0.50	-3.3552	176.8903	0.000970623396895293	0.0710268577652668
G_pariet_inf-Angular	-0.0641	NA	-0.08	NA	 0.22	 1.4371	175.1913	0.152464397513557	11.1568164450817
G_pariet_inf-Supramar	 0.0812	NA	 0.06	NA	 0.23	 1.5297	176.9413	0.127887433652188	9.35835936886941
G_parietal_sup	 0.0989	NA	 0.09	NA	 0.12	 0.7743	170.2700	0.439840215703023	32.1859832970346
G_postcentral	 0.0769	NA	 0.05	NA	 0.32	 2.1467	162.8322	0.033294562297582	2.43638073039597
G_precentral	-0.0025	NA	 0.00	NA	-0.04	-0.2697	176.2209	0.787741656968402	57.6442055736948
G_precuneus	 0.0518	NA	 0.02	NA	 0.48	 3.1818	149.1378	0.00178130540125211	0.130349758491226
G_rectus	 0.0785	NA	 0.08	NA	 0.01	 0.0951	166.4674	0.924353924466808	67.6410180589873
G_subcallosal	 0.2953	NA	 0.25	NA	 0.21	 1.4220	176.3795	0.156791489905601	11.4734580764806
G_temp_sup-G_T_transv	 0.1144	NA	 0.12	NA	-0.08	-0.5467	168.0549	0.585288231555861	42.8293652382327
G_temp_sup-Lateral	 0.0407	NA	 0.03	NA	 0.21	 1.4121	171.5381	0.159719328134756	11.6877071355154
G_temp_sup-Plan_polar	-0.0862	NA	-0.08	NA	-0.01	-0.0914	176.5660	0.92726422427633	67.8539837172297
G_temp_sup-Plan_tempo	 0.0885	NA	 0.07	NA	 0.17	 1.1289	176.0896	0.260469532904601	19.0602581031707
G_temporal_inf	 0.0037	NA	 0.02	NA	-0.13	-0.8974	158.2967	0.370885788777408	27.1401372055463
G_temporal_middle	-0.0621	NA	-0.05	NA	-0.15	-0.9978	173.0253	0.319763650682002	23.3991962362958
Lat_Fis-ant-Horizont	-0.1465	NA	-0.10	NA	-0.37	-2.4698	168.9366	0.0145139554774007	1.06208098280157
Lat_Fis-ant-Vertical	 0.0985	NA	 0.18	NA	-0.35	-2.3263	170.4569	0.0211795247130334	1.54984424869665
Lat_Fis-post	-0.0933	NA	-0.09	NA	-0.03	-0.2087	176.9133	0.834911507402266	61.0959318233315
Pole_occipital	-0.2497	NA	-0.25	NA	-0.01	-0.0598	146.0393	0.952367267288206	69.6909374432403
Pole_temporal	-0.0341	NA	-0.03	NA	-0.05	-0.3552	174.1449	0.722865510276425	52.8967939017848
S_calcarine	 0.0117	NA	 0.01	NA	 0.00	 0.0218	145.7331	0.982611795286391	71.904127229491
S_central	 0.0323	NA	 0.02	NA	 0.24	 1.6171	141.2284	0.108083718478094	7.90919209617284
S_cingul-Marginalis	-0.0817	NA	-0.08	NA	 0.03	 0.2315	172.5594	0.817211426839671	59.8007012441238
S_circular_insula_ant	-0.0590	NA	-0.03	NA	-0.32	-2.1432	170.2317	0.0335210310530049	2.45295292938803
S_circular_insula_inf	 0.0938	NA	 0.10	NA	-0.03	-0.1685	175.3651	0.866371366677493	63.3980553423032
S_circular_insula_sup	 0.0886	NA	 0.09	NA	-0.11	-0.7213	174.7926	0.471662849584183	34.5146534049499
S_collat_transv_ant	-0.0228	NA	 0.00	NA	-0.21	-1.3814	176.8141	0.16890843943246	12.3601344674949
S_collat_transv_post	 0.0362	NA	 0.02	NA	 0.11	 0.7242	175.1758	0.469914188860829	34.3866924709
S_front_inf	 0.0459	NA	 0.06	NA	-0.12	-0.8095	176.2857	0.419292620436875	30.6823814561401
S_front_middle	-0.2115	NA	-0.22	NA	 0.10	 0.6962	175.1876	0.487254485937853	35.6555953409903
S_front_sup	 0.0432	NA	 0.05	NA	-0.11	-0.7416	174.3539	0.459305966702749	33.6104195222215
S_interm_prim-Jensen	-0.0857	NA	-0.31	NA	 0.95	 6.4151	164.6811	1.43177331163213e-09	1.04772211016845e-07
S_intrapariet_and_P_trans	-0.0514	NA	-0.04	NA	-0.14	-0.9099	175.0071	0.364132021382621	26.6459199038991
S_oc_middle_and_Lunatus	 0.0477	NA	 0.04	NA	 0.03	 0.2116	173.4740	0.832680957242981	60.9327078897146
S_oc_sup_and_transversal	-0.0397	NA	-0.04	NA	 0.02	 0.1627	164.0952	0.870937769514867	63.7322088830756
S_occipital_ant	-0.0234	NA	-0.01	NA	-0.07	-0.4955	176.1230	0.620852852894275	45.4318610253311
S_oc-temp_lat	-0.0898	NA	-0.09	NA	-0.02	-0.1493	170.7138	0.881504207857954	64.5054242369198
S_oc-temp_med_and_Lingual	 0.0049	NA	 0.01	NA	-0.03	-0.2221	137.3816	0.824539240264511	60.3369252456483
S_orbital_lateral	-0.0919	NA	-0.11	NA	 0.14	 0.9326	171.6229	0.352340139341297	25.7830308253823
S_orbital_med-olfact	-0.0251	NA	-0.02	NA	-0.11	-0.7068	176.5657	0.480605785848566	35.169066500787
S_orbital-H_Shaped	 0.0081	NA	 0.04	NA	-0.49	-3.2792	176.9323	0.00125368080780173	0.0917400185320114
S_parieto_occipital	-0.0485	NA	-0.06	NA	 0.22	 1.4729	162.2093	0.142713115993997	10.4432514437287
S_pericallosal	-0.0466	NA	-0.02	NA	-0.25	-1.6825	173.1724	0.0942690423717209	6.89828195530962
S_postcentral	 0.0870	NA	 0.07	NA	 0.22	 1.4543	176.5931	0.147648153072949	10.8043803612824
S_precentral-inf-part	-0.0025	NA	 0.01	NA	-0.08	-0.5255	173.6684	0.599882466481709	43.8973207929688
S_precentral-sup-part	-0.0354	NA	-0.02	NA	-0.10	-0.6456	176.9862	0.519406111792497	38.008339941836
S_suborbital	 0.3802	NA	 0.38	NA	 0.00	-0.0170	170.5750	0.986430118350064	72.1835388839111
S_subparietal	-0.0692	NA	-0.07	NA	-0.01	-0.0374	165.0197	0.970183018719851	70.9946324159396
S_temporal_inf	 0.0899	NA	 0.12	NA	-0.25	-1.6574	147.3847	0.0995601459335369	7.2854665845989
S_temporal_sup	-0.0303	NA	-0.04	NA	 0.14	 0.9061	158.4611	0.366264725642752	26.8019838135723
S_temporal_transverse	 0.1266	NA	 0.11	NA	 0.07	 0.4785	161.4925	0.632965802615212	46.3182447244041
