Region	Mean Controls	Mean ASD	Cohen`s D	t	df	p	pcor
G_and_S_frontomargin	 0.1448	 0.1544	-0.12	-0.91	189.62	0.3662	26.7961
G_and_S_occipital_inf	 0.0837	 0.1130	-0.27	-2.20	217.89	0.0291	 2.1263
G_and_S_paracentral	 0.0484	 0.0502	-0.03	-0.24	216.26	0.8141	59.5699
G_and_S_subcentral	 0.0273	 0.0227	 0.06	 0.49	199.27	0.6275	45.9202
G_and_S_transv_frontopol	-0.2044	-0.2062	 0.02	 0.13	198.49	0.8928	65.3285
G_and_S_cingul-Ant	-0.1407	-0.1360	-0.08	-0.64	206.80	0.5226	38.2417
G_and_S_cingul-Mid-Ant	-0.0452	-0.0433	-0.03	-0.21	214.99	0.8336	61.0019
G_and_S_cingul-Mid-Post	-0.0423	-0.0509	 0.13	 1.07	206.30	0.2870	21.0008
G_cingul-Post-dorsal	 0.0483	 0.0566	-0.08	-0.64	214.92	0.5211	38.1293
G_cingul-Post-ventral	-0.0242	 0.0029	-0.26	-2.05	208.42	0.0412	 3.0125
G_cuneus	-0.0473	-0.0420	-0.06	-0.54	231.60	0.5929	43.3840
G_front_inf-Opercular	-0.0060	 0.0016	-0.08	-0.63	194.71	0.5286	38.6798
G_front_inf-Orbital	 0.0203	 0.0234	-0.02	-0.19	185.93	0.8532	62.4377
G_front_inf-Triangul	 0.0948	 0.1026	-0.06	-0.47	186.07	0.6392	46.7768
G_front_middle	 0.0565	 0.0617	-0.06	-0.52	226.72	0.6029	44.1193
G_front_sup	 0.0348	 0.0402	-0.10	-0.77	182.11	0.4421	32.3533
G_Ins_lg_and_S_cent_ins	 0.0187	 0.0320	-0.15	-1.13	191.20	0.2596	18.9939
G_insular_short	-0.0040	 0.0204	-0.24	-1.83	179.83	0.0688	 5.0342
G_occipital_middle	-0.0362	-0.0395	 0.04	 0.30	197.97	0.7635	55.8688
G_occipital_sup	-0.0527	-0.0713	 0.22	 1.76	205.42	0.0801	 5.8626
G_oc-temp_lat-fusifor	-0.0531	-0.0242	-0.31	-2.50	212.96	0.0130	 0.9535
G_oc-temp_med-Lingual	 0.0112	 0.0137	-0.03	-0.25	231.21	0.8001	58.5481
G_oc-temp_med-Parahip	 0.0483	 0.0449	 0.03	 0.28	214.89	0.7810	57.1492
G_orbital	-0.0563	-0.0453	-0.18	-1.44	208.06	0.1502	10.9938
G_pariet_inf-Angular	-0.0641	-0.0680	 0.05	 0.36	194.01	0.7163	52.4141
G_pariet_inf-Supramar	 0.0812	 0.0806	 0.01	 0.05	205.82	0.9576	70.0731
G_parietal_sup	 0.0989	 0.0945	 0.06	 0.45	208.66	0.6550	47.9321
G_postcentral	 0.0769	 0.0575	 0.25	 2.08	231.51	0.0388	 2.8399
G_precentral	-0.0025	 0.0020	-0.06	-0.49	184.62	0.6227	45.5657
G_precuneus	 0.0518	 0.0250	 0.37	 3.10	233.88	0.0022	 0.1616
G_rectus	 0.0785	 0.0796	-0.02	-0.12	211.22	0.9018	65.9934
G_subcallosal	 0.2953	 0.2718	 0.10	 0.85	215.91	0.3980	29.1234
G_temp_sup-G_T_transv	 0.1144	 0.1151	-0.01	-0.05	210.68	0.9617	70.3714
G_temp_sup-Lateral	 0.0407	 0.0356	 0.08	 0.63	193.39	0.5321	38.9362
G_temp_sup-Plan_polar	-0.0862	-0.0881	 0.02	 0.13	179.04	0.8983	65.7361
G_temp_sup-Plan_tempo	 0.0885	 0.0861	 0.02	 0.16	172.59	0.8711	63.7457
G_temporal_inf	 0.0037	 0.0049	-0.01	-0.11	223.65	0.9142	66.8982
G_temporal_middle	-0.0621	-0.0629	 0.01	 0.10	200.62	0.9238	67.6039
Lat_Fis-ant-Horizont	-0.1465	-0.1172	-0.22	-1.76	217.21	0.0797	 5.8345
Lat_Fis-ant-Vertical	 0.0985	 0.1464	-0.22	-1.72	205.20	0.0874	 6.3957
Lat_Fis-post	-0.0933	-0.0915	-0.03	-0.22	187.03	0.8254	60.3990
Pole_occipital	-0.2497	-0.2464	-0.05	-0.41	247.01	0.6820	49.9029
Pole_temporal	-0.0341	-0.0375	 0.05	 0.41	211.32	0.6805	49.7972
S_calcarine	 0.0117	 0.0107	 0.01	 0.12	245.59	0.9046	66.1922
S_central	 0.0323	 0.0224	 0.17	 1.53	255.18	0.1270	 9.2922
S_cingul-Marginalis	-0.0817	-0.0767	-0.07	-0.57	223.53	0.5710	41.7874
S_circular_insula_ant	-0.0590	-0.0500	-0.09	-0.72	218.26	0.4741	34.6928
S_circular_insula_inf	 0.0938	 0.0922	 0.03	 0.22	187.80	0.8296	60.7088
S_circular_insula_sup	 0.0886	 0.0918	-0.06	-0.46	210.57	0.6435	47.0925
S_collat_transv_ant	-0.0228	-0.0200	-0.03	-0.23	174.61	0.8186	59.9039
