Var1	ASD-I	Perc1	ASD-II	Perc2
ADHD-Inattentive Type	35	45.4545454545455	28	31.8181818181818
ADHD-Combined Type	23	29.8701298701299	38	43.1818181818182
Generalized Anxiety Disorder	15	19.4805194805195	11	12.5
Language Disorder	12	15.5844155844156	17	19.3181818181818
Social Anxiety (Social Phobia)	11	14.2857142857143	4	4.54545454545455
Specific Phobia	10	12.987012987013	16	18.1818181818182
Specific Learning Disorder with Impairment in Reading	9	11.6883116883117	13	14.7727272727273
Enuresis	7	9.09090909090909	9	10.2272727272727
Persistent (Chronic) Motor or Vocal Tic Disorder	7	9.09090909090909	6	6.81818181818182
Oppositional Defiant Disorder	6	7.79220779220779	13	14.7727272727273
