"","Measure","","Controls",".1",".2","Full ASD",".3"
"1","","N (m/f)","M","SD","N (m/f)","M","SD"
"2","Sex","54/37","-","-","142/26","-","-"
"3","Age","91","10.19","3.37","168","11.07","3.37"
"4","ASSQ","91","2.33","2.94","168","16.14","9.65"
"5","SRS","91","29.42","17.39","168","77.55","28.49"
"6"," AWR","91","6.13","2.73","168","10.19","3.63"
"7"," COG","91","5.42","4.09","168","14.47","6.70"
"8"," COM","91","8.96","6.69","168","26.08","10.38"
"9"," MOT","91","5.46","4.07","168","11.74","6.05"
"10"," RRB","91","3.45","3.74","168","15.07","6.72"
"11","RBS","91","10.59","17.00","168","47.30","36.16"
"12","SCQ","91","5.08","3.12","168","11.29","5.34"
