Measure	ASD-I M	SD	ASD-II M	SD	d	t	df	p	p*corr
Age	11.22	3.43	10.96	3.37	0.08	0.5	159.29	0.62	4.595
ASSQ	15.81	9.34	15.84	9.57	0.00	-0.02	161.05	0.98	7.266
SRS	77.90	26.71	76.52	29.93	0.05	0.31	162.93	0.76	5.601
AWR	9.94	3.73	10.35	3.54	-0.11	-0.73	157.49	0.46	3.439
COG	14.65	6.28	14.01	6.92	0.10	0.62	162.76	0.54	3.968
COM	25.88	9.59	26.07	11.06	-0.02	-0.12	162.99	0.91	6.731
MOT	12.10	6.11	11.45	6.05	0.11	0.68	159.73	0.49	3.666
RRB	15.32	6.06	14.64	7.27	0.10	0.66	162.63	0.51	3.766
RBS	44.86	35.39	48.14	36.62	-0.09	-0.58	161.38	0.56	4.149
SCQ	10.95	5.11	11.45	5.56	-0.09	-0.61	162.59	0.54	4.024
