Measure	Controls M	SD	ASD M	SD	d	t	df	p	p*corr
Age	10.19	3.37	11.07	3.37	-0.26	-2	184.76	0.047	0.349   
ASSQ	2.33	2.94	2.33	9.65	-1.73	-17.13	217.39	0.000	< .001***
SRS	29.42	17.39	77.55	28.49	-1.91	-16.85	253.33	0.000	< .001***
AWR	6.13	2.73	10.19	3.63	-1.21	-10.13	230.98	0.000	< .001***
COG	5.42	4.09	14.47	6.70	-1.53	-13.47	253.30	0.000	< .001***
COM	8.96	6.69	26.08	10.38	-1.85	-16.09	249.37	0.000	< .001***
MOT	5.46	4.07	11.74	6.05	-1.15	-9.94	245.25	0.000	< .001***
RRB	3.45	3.74	15.07	6.72	-1.98	-17.87	256.79	0.000	< .001***
RBS	10.59	17.00	47.30	36.16	-1.19	-11.09	252.96	0.000	< .001***
SCQ	5.08	3.12	11.29	5.34	-1.33	-11.8	255.52	0.000	< .001***
